
=== RUN 2026-09-18T16:40:36.346890 seed=42 pop=80 elite=10 mut_rate=0.15 sigma=0.25 crossover=0.5 gens=5000 ===

MILESTONE gen 1: FIRST BIRD SURVIVES 100+ FRAMES
MILESTONE gen 1: FIRST PIPE PASSED
2026-09-18T16:40:50.011519 gen=144 best=346.0 avg=68.7 score=2 alive=146 dt=0.12s
2026-09-18T16:40:50.115338 gen=145 best=346.0 avg=70.0 score=2 alive=146 dt=0.09s
2026-09-18T16:40:50.208490 gen=146 best=346.0 avg=66.4 score=2 alive=146 dt=0.08s
2026-09-18T16:40:50.351830 gen=147 best=636.0 avg=83.1 score=4 alive=236 dt=0.13s
2026-09-18T16:40:50.446527 gen=148 best=351.0 avg=73.6 score=2 alive=151 dt=0.09s
2026-09-18T16:40:50.515609 gen=149 best=206.0 avg=66.5 score=1 alive=106 dt=0.06s
2026-09-18T16:40:50.584844 gen=150 best=205.0 avg=62.7 score=1 alive=105 dt=0.06s
2026-09-18T16:40:50.751003 gen=151 best=641.0 avg=81.2 score=4 alive=241 dt=0.14s
2026-09-18T16:40:50.867185 gen=152 best=491.0 avg=75.8 score=3 alive=191 dt=0.11s
2026-09-18T16:40:50.984082 gen=153 best=492.0 avg=73.6 score=3 alive=192 dt=0.11s
2026-09-18T16:40:51.075822 gen=154 best=346.0 avg=64.6 score=2 alive=146 dt=0.08s
2026-09-18T16:40:51.143609 gen=155 best=204.0 avg=68.2 score=1 alive=104 dt=0.06s
2026-09-18T16:40:51.233023 gen=156 best=349.0 avg=73.2 score=2 alive=149 dt=0.08s
2026-09-18T16:40:51.301225 gen=157 best=203.0 avg=59.2 score=1 alive=103 dt=0.06s
2026-09-18T16:40:51.346551 gen=158 best=61.0 avg=57.2 score=0 alive=61 dt=0.04s
2026-09-18T16:40:51.439025 gen=159 best=346.0 avg=64.4 score=2 alive=146 dt=0.08s
2026-09-18T16:40:51.508279 gen=160 best=205.0 avg=66.0 score=1 alive=105 dt=0.06s
2026-09-18T16:40:51.576608 gen=161 best=206.0 avg=60.7 score=1 alive=106 dt=0.06s
2026-09-18T16:40:51.644999 gen=162 best=205.0 avg=62.8 score=1 alive=105 dt=0.06s
2026-09-18T16:40:51.741124 gen=163 best=350.0 avg=62.7 score=2 alive=150 dt=0.09s
2026-09-18T16:40:51.810359 gen=164 best=205.0 avg=64.8 score=1 alive=105 dt=0.06s
2026-09-18T16:40:51.880099 gen=165 best=205.0 avg=66.6 score=1 alive=105 dt=0.06s
2026-09-18T16:40:51.949702 gen=166 best=204.0 avg=59.1 score=1 alive=104 dt=0.06s
2026-09-18T16:40:52.017008 gen=167 best=203.0 avg=66.2 score=1 alive=103 dt=0.06s
2026-09-18T16:40:52.111831 gen=168 best=351.0 avg=62.5 score=2 alive=151 dt=0.09s
2026-09-18T16:40:52.180299 gen=169 best=206.0 avg=61.0 score=1 alive=106 dt=0.06s
2026-09-18T16:40:52.271717 gen=170 best=346.0 avg=66.7 score=2 alive=146 dt=0.08s
2026-09-18T16:40:52.362993 gen=171 best=346.0 avg=70.3 score=2 alive=146 dt=0.08s
2026-09-18T16:40:52.457128 gen=172 best=350.0 avg=67.0 score=2 alive=150 dt=0.08s
2026-09-18T16:40:52.589355 gen=173 best=496.0 avg=72.5 score=3 alive=196 dt=0.12s
2026-09-18T16:40:52.659835 gen=174 best=206.0 avg=64.7 score=1 alive=106 dt=0.06s
2026-09-18T16:40:52.760912 gen=175 best=206.0 avg=61.0 score=1 alive=106 dt=0.09s
2026-09-18T16:40:53.001613 gen=176 best=636.0 avg=75.5 score=4 alive=236 dt=0.23s
2026-09-18T16:40:53.072560 gen=177 best=206.0 avg=67.0 score=1 alive=106 dt=0.06s
2026-09-18T16:40:53.212029 gen=178 best=493.0 avg=72.0 score=3 alive=193 dt=0.13s
2026-09-18T16:40:53.287210 gen=179 best=206.0 avg=65.2 score=1 alive=106 dt=0.07s
